id,full_name,sets,type,method_family,commit,readme_url,license,audit_depth,selected_source_read,code,weights,training_code,inference_code,evaluation,data,raw_predictions,summary,boundary
gh:appitstudio/awesome-jev,AppitStudio/awesome-jev,catalogue,catalogue,,e64ff1b82f33201a02df63f6c2fc1c01f07b077b,https://github.com/AppitStudio/awesome-jev/blob/e64ff1b82f33201a02df63f6c2fc1c01f07b077b/README.md,NOASSERTION,README_metadata,,,,,,,,,Many links outside the seed; relation to Jev must be verified per project.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:arita37/awesome-jev-tools,arita37/awesome-jev-tools,catalogue,catalogue,,23ed65230d1486e22f5e573709b1a065c18fe3b4,https://github.com/arita37/awesome-jev-tools/blob/23ed65230d1486e22f5e573709b1a065c18fe3b4/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:arthurxiaocn/awesome-jev,arthurxiaocn/awesome-jev,catalogue,catalogue,,,,NOASSERTION,metadata_only_readme_unavailable,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:beatapi/awesome-jev,BeatAPI/awesome-jev,catalogue,catalogue,,f8a555148d5edbddb86722ee8dbe4497de1db692,https://github.com/BeatAPI/awesome-jev/blob/f8a555148d5edbddb86722ee8dbe4497de1db692/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:bespokelabsai/nimble,bespokelabsai/nimble,priority,model,finetuned_decoder,38edc3b576f13179df785d412621d5cb1128d02d,https://github.com/bespokelabsai/nimble/blob/38edc3b576f13179df785d412621d5cb1128d02d/README.md,NOASSERTION,README_metadata_and_selected_source,nimble/scoring/parallel_scorer.py,available,available,available,available,not_located,available,not_located,"Open recipe and Bespoke-Nimble-9B (LoRA on Qwen3.5-9B) for typed choice and yes/no decisions with candidate scoring; training (2,676) and held-out (324) examples published; temperature refitted on 2026-09-22.",README states it was not distilled from Jev; public scores do not rule out benchmark overlap.
gh:browser-use/jev-ultrafast,browser-use/jev-ultrafast,priority,system,hosted_service,1231850a0bf1a0c0341fe408ef1668dbbfdfac46,https://github.com/browser-use/jev-ultrafast/blob/1231850a0bf1a0c0341fe408ef1668dbbfdfac46/README.md,MIT,README_metadata_and_selected_source,jev_ultrafast/model.py,available,not_applicable,not_located,available,not_located,not_located,not_located,Browser agent in which Jev picks an operation and an indexed page element; a small LLM writes text only for TYPE_TEXT.,Text entry and verification still rely on other components; demo timings are system-level.
gh:cagbal/awesome-jev,cagbal/awesome-jev,catalogue,catalogue,,a39901ffe9892200c2fdec6632709a769e6f41a6,https://github.com/cagbal/awesome-jev/blob/a39901ffe9892200c2fdec6632709a769e6f41a6/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:ckaraca/awesome-jev,ckaraca/awesome-jev,catalogue,catalogue,,d890033d4a7b8e06ff7879c21382afe0bf7bb840,https://github.com/ckaraca/awesome-jev/blob/d890033d4a7b8e06ff7879c21382afe0bf7bb840/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:cobanov/awesome-jev,cobanov/awesome-jev,catalogue,catalogue,,83b4a86294e1de98883161a42e923bf1db1359f6,https://github.com/cobanov/awesome-jev/blob/83b4a86294e1de98883161a42e923bf1db1359f6/README.md,CC0-1.0,README_metadata,,,,,,,,,Mid-sized categorised entry point for cross-checking open models and tools.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:codealex52/awesome-jev-cn,CodeAlex52/awesome-jev-cn,catalogue,catalogue,,3206e84a331e225be1775d14b7e2481146fd1356,https://github.com/CodeAlex52/awesome-jev-cn/blob/3206e84a331e225be1775d14b7e2481146fd1356/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:daftai2026/awesome-jev,daftAI2026/awesome-jev,catalogue,catalogue,,240f10d02a0bcd14668a2f7124d5b33261499033,https://github.com/daftAI2026/awesome-jev/blob/240f10d02a0bcd14668a2f7124d5b33261499033/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:dog-last/awesome-jev,dog-last/awesome-jev,catalogue,catalogue,,206fdcab0e1cdab0d2f4fe9aeaf09a7d2b8b2f43,https://github.com/dog-last/awesome-jev/blob/206fdcab0e1cdab0d2f4fe9aeaf09a7d2b8b2f43/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:evan87863/awesome-jev-examples,evan87863/awesome-jev-examples,catalogue,catalogue,,a1e5b11c6df8c36185a8d3bd622001720391a423,https://github.com/evan87863/awesome-jev-examples/blob/a1e5b11c6df8c36185a8d3bd622001720391a423/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:fanly/jev-awesome,fanly/Jev-awesome,catalogue,catalogue,,a69bf584d687e025a5f191520d9d6cd17653ded6,https://github.com/fanly/Jev-awesome/blob/a69bf584d687e025a5f191520d9d6cd17653ded6/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:fatwang2/awesome-jev,fatwang2/awesome-jev,catalogue,catalogue,,9d53131da2b0433fc625d5014ce19f9fb74d6af5,https://github.com/fatwang2/awesome-jev/blob/9d53131da2b0433fc625d5014ce19f9fb74d6af5/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:fivetaku/awesome-jev-study,fivetaku/awesome-jev-study,catalogue,catalogue,,3c254c45d726c2bae391b5a40fa110362f9b7a85,https://github.com/fivetaku/awesome-jev-study/blob/3c254c45d726c2bae391b5a40fa110362f9b7a85/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:flock-io/this-that-model,FLock-io/this-that-model,priority,model,finetuned_decoder,542d445efa5f68b14bfbd1f8ed25aacd8379d839,https://github.com/FLock-io/this-that-model/blob/542d445efa5f68b14bfbd1f8ed25aacd8379d839/README.md,MIT,README_metadata_and_selected_source,thisthat/model.py,available,available,not_located,available,available,partial,not_located,"this-that-model-1.0 (~1.9–2B): restricted-softmax readout at a designated position; weights on Hugging Face (MIT), inference package and scripts said to reproduce every paper measurement.",Adapted from decider-2b; electricity-only cost figures are not API prices.
gh:frank-zy-dou/awesome-jev,Frank-ZY-Dou/awesome-jev,catalogue,catalogue,,0f2a8aa1eb984195d3f34890e2d471e45539826d,https://github.com/Frank-ZY-Dou/awesome-jev/blob/0f2a8aa1eb984195d3f34890e2d471e45539826d/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:fstandhartinger/jevbench,fstandhartinger/jevbench,priority,benchmark,,f79a1cab94ab9a5879383b7ef9ee1805b9dc2d84,https://github.com/fstandhartinger/jevbench/blob/f79a1cab94ab9a5879383b7ef9ee1805b9dc2d84/README.md,MIT,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,not_located,"Community benchmark and leaderboard for Jev-class models (composite of intelligence, calibration, speed and cost).",Submitter-reported numbers and a composite score are not a controlled unified evaluation.
gh:g0runmezadam/what-is-jev,g0runmezadam/what-is-jev,catalogue,catalogue,,45b23e98676d0ea399995db90ef46fc13b358122,https://github.com/g0runmezadam/what-is-jev/blob/45b23e98676d0ea399995db90ef46fc13b358122/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:gerry9000/awesome-jev,Gerry9000/awesome-jev,catalogue,catalogue,,670b3138a33249820d676c9786670f861ed72e40,https://github.com/Gerry9000/awesome-jev/blob/670b3138a33249820d676c9786670f861ed72e40/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:githubnext/localjev,githubnext/localjev,priority,adapter,generative_adapter,3f23e36e1a3bff46c7e83e8e3781d3512bc82021,https://github.com/githubnext/localjev/blob/3f23e36e1a3bff46c7e83e8e3781d3512bc82021/README.md,MIT,README_metadata,,available,not_applicable,not_located,available,not_located,not_located,not_located,"Local Jev-compatible API in TypeScript that asks a model for JSON probabilities, validates, retries and normalises them.",Wire-compatible but not mathematically equivalent to a logit read: probabilities are generated/self-reported (README).
gh:guanxuyu-sv/visual-jev,guanxuyu-sv/Visual-Jev,priority,project_page,finetuned_decoder,2c3451b20d282545aa7372aa78b06fc795804738,https://github.com/guanxuyu-sv/Visual-Jev/blob/2c3451b20d282545aa7372aa78b06fc795804738/README.md,NOASSERTION,README_metadata,,project_page_only,not_applicable,not_located,not_applicable,not_located,not_located,partial,Project page and result JSON for Visual Jev; figures are generated from the result files behind the paper tables.,The full evaluation tree is not in this repository (README); not a full training/inference release.
gh:ham-zax/awesome-jev,ham-zax/awesome-jev,catalogue,catalogue,,12edd8469678a9009b9edb676388af4b776dfba0,https://github.com/ham-zax/awesome-jev/blob/12edd8469678a9009b9edb676388af4b776dfba0/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:hazemibrahim97/decision-models-css,hazemibrahim97/decision-models-css,priority,evaluation,hosted_service,45b71ce8403eababae18cc51dda5ecb6d67e05e4,https://github.com/hazemibrahim97/decision-models-css/blob/45b71ce8403eababae18cc51dda5ecb6d67e05e4/README.md,MIT,README_metadata_and_selected_source,pilot_jev.py,available,not_applicable,not_located,not_applicable,available,available,available,"Replication package for the CSS annotation study: per-call records, analysis scripts and the Jev pilot.",Not re-run by this review.
gh:hellogumbo/awesome-jev,hellogumbo/awesome-jev,catalogue,catalogue,,e2014cdb35d7d699795c8ca28904e8f42568bf45,https://github.com/hellogumbo/awesome-jev/blob/e2014cdb35d7d699795c8ca28904e8f42568bf45/README.md,CC0-1.0,README_metadata,,,,,,,,,"User-supplied seed catalogue; broad ecosystem entry point, not a paper list or performance evidence.","Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:heyjunpenn/awesome-jev,heyjunpenn/awesome-jev,catalogue,catalogue,,24279e3fb0a949ae87abd0d772530c1227cf86a7,https://github.com/heyjunpenn/awesome-jev/blob/24279e3fb0a949ae87abd0d772530c1227cf86a7/README.md,MIT,README_metadata,,,,,,,,,Large complementary directory with high overlap with the seed.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:instax-dutta/sysone-bench,instax-dutta/sysone-bench,priority,benchmark,,1ac3650a65e3783ac9615f26b02bc7c1d5ad3b23,https://github.com/instax-dutta/sysone-bench/blob/1ac3650a65e3783ac9615f26b02bc7c1d5ad3b23/README.md,MIT,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,not_located,"Head-to-head comparison of Laya and Jev on byte-identical states and questions (751 states, 9 suites per the snapshot audit).","Check option design, baseline fairness and raw data before reusing numbers."
gh:jaredpalmer/kev,jaredpalmer/kev,priority,model,finetuned_decoder,557598fced1dada75dfbf36ed144dce309ac6ceb,https://github.com/jaredpalmer/kev/blob/557598fced1dada75dfbf36ed144dce309ac6ceb/README.md,Apache-2.0,README_metadata_and_selected_source,kev/model.py,available,available,available,available,available,available,not_located,"Small Jev-like decision models (0.8B/4B/9B) on Qwen3.5 with LoRA and an option-pointer readout; training code, frozen evaluation suites and a Jev-compatible local server.",Follows an architecture speculated in a third-party blog post about Jev; that speculation is not a vendor disclosure.
gh:jellydn/awesome-typesafe,jellydn/awesome-typesafe,catalogue,catalogue,,680f31e6fe95dd4deb8a756ca359d0b615b18aac,https://github.com/jellydn/awesome-typesafe/blob/680f31e6fe95dd4deb8a756ca359d0b615b18aac/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:jinghao-leon/awesome-jev-apps,JingHao-Leon/awesome-jev-apps,catalogue,catalogue,,8be94563d430eeb3cf5b91098634663ac851969e,https://github.com/JingHao-Leon/awesome-jev-apps/blob/8be94563d430eeb3cf5b91098634663ac851969e/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:jjd-lab/jev-synthetic-survey,jjd-lab/jev-synthetic-survey,priority,evaluation,,8dbb40db3a69e4d174b5962ffef3bdb8ee7e7a68,https://github.com/jjd-lab/jev-synthetic-survey/blob/8dbb40db3a69e4d174b5962ffef3bdb8ee7e7a68/README.md,MIT,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,not_located,jev-1.13.0 and GPT-4.1 as 300 synthetic questionnaire respondents on Twin-2K-500; compares Noul and Choice framings.,"“Survey” means questionnaire, not literature review."
gh:johndotowl/awesome-jev,JohnDotOwl/awesome-jev,catalogue,catalogue,,596adbb8e56a0b8f112a17c6cad441ad4fe07a40,https://github.com/JohnDotOwl/awesome-jev/blob/596adbb8e56a0b8f112a17c6cad441ad4fe07a40/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:jourdanlabs/assay-001,jourdanlabs/assay-001,priority,evaluation,,b7f71053a88025a5af80af00801c5ce725c9547d,https://github.com/jourdanlabs/assay-001/blob/b7f71053a88025a5af80af00801c5ce725c9547d/README.md,NOASSERTION,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,available,"Pre-registered calibration and type-safety check on CLINC150 and Banking77 with sealed raw responses (8,576).",Community report; its “independent re-computation” description is not a reproduction by this review.
gh:jqueryscript/awesome-jev,jqueryscript/awesome-jev,catalogue,catalogue,,ac4dc5ba37d1a7112b2ec95c19baac2f2155be23,https://github.com/jqueryscript/awesome-jev/blob/ac4dc5ba37d1a7112b2ec95c19baac2f2155be23/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:jtnkminimal/awesome-jev,jtnkminimal/awesome-jev,catalogue,catalogue,,26960f42cedf3f70c4a46250af6123ea5ab24b72,https://github.com/jtnkminimal/awesome-jev/blob/26960f42cedf3f70c4a46250af6123ea5ab24b72/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:jujumilk3/jev-calibration-audit,jujumilk3/jev-calibration-audit,priority,evaluation,,daab9e2c2d5d5683bf07f3482deb653c26856219,https://github.com/jujumilk3/jev-calibration-audit/blob/daab9e2c2d5d5683bf07f3482deb653c26856219/README.md,MIT,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,available,"Seven API-only experiments (~7,000 calls) on calibration sign, Noul/Choice coherence, order and wording invariance, interference, caching and Korean.","Community report; not peer-reviewed; not re-run. (The 11,759 figure sometimes quoted is the size of a source dataset, not the audit.)"
gh:justmalhar/awesome-jev-apps,Justmalhar/awesome-jev-apps,catalogue,catalogue,,4e1395ec756a707706df815fa8072c194e52e2a0,https://github.com/Justmalhar/awesome-jev-apps/blob/4e1395ec756a707706df815fa8072c194e52e2a0/README.md,MIT,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:karozi/awesome-jev-resources,karozi/awesome-jev-resources,catalogue,catalogue,,6fc7b2bbb484faf7311f1df4b4371dbea5c79f7c,https://github.com/karozi/awesome-jev-resources/blob/6fc7b2bbb484faf7311f1df4b4371dbea5c79f7c/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:kennethashley/awesome-jev,KennethAshley/awesome-jev,catalogue,catalogue,,c7aee8964a8fbade04cdcb942dab9e994d75aec4,https://github.com/KennethAshley/awesome-jev/blob/c7aee8964a8fbade04cdcb942dab9e994d75aec4/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:kraayenjon/awesome-jev,kraayenjon/awesome-jev,catalogue,catalogue,,22570dcd8662ae039860a1dfad7d7aec4aff8e15,https://github.com/kraayenjon/awesome-jev/blob/22570dcd8662ae039860a1dfad7d7aec4aff8e15/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:kuzanj/awesome-jev,KuzanJ/awesome-jev,catalogue,catalogue,,9f17d5b6cdc943441d8098f47c4beea0c93e8a19,https://github.com/KuzanJ/awesome-jev/blob/9f17d5b6cdc943441d8098f47c4beea0c93e8a19/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:kydlikebtc/awesome-jev,kydlikebtc/awesome-jev,catalogue,catalogue,,21371283131dba8aa90cf6d00c0669b61820d5f3,https://github.com/kydlikebtc/awesome-jev/blob/21371283131dba8aa90cf6d00c0669b61820d5f3/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:li-evan/awesome-jev,Li-Evan/awesome-jev,catalogue,catalogue,,00a2666f957c3b0298188d58e36b01d499d8057f,https://github.com/Li-Evan/awesome-jev/blob/00a2666f957c3b0298188d58e36b01d499d8057f/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:libingzheren/jev-mem,libingzheren/Jev-Mem,priority,system,hosted_service,81574eb23f3fd8d1a6c4d54a1e7d6f2dd539e9bb,https://github.com/libingzheren/Jev-Mem/blob/81574eb23f3fd8d1a6c4d54a1e7d6f2dd539e9bb/README.md,MIT,README_metadata_and_selected_source,memory/jev_client.py,available,not_applicable,not_located,available,not_located,not_located,not_located,"Agent memory system with a Jev System-One control plane, a multi-relational memory plane and a System-Two reasoning plane.",System-level results; module attribution needed.
gh:logicrw/awesome-jev-projects,logicrw/awesome-jev-projects,catalogue,catalogue,,a27922ad457389775f4fe4eadcf688afc9d36d83,https://github.com/logicrw/awesome-jev-projects/blob/a27922ad457389775f4fe4eadcf688afc9d36d83/README.md,MIT,README_metadata,,,,,,,,,Broad application coverage with many candidates outside the seed.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:louisultra/jev-deep-dive,LouisUltra/jev-deep-dive,priority; catalogue,guide,,1aea95911563175f5553379aa1d34926f5bde93e,https://github.com/LouisUltra/jev-deep-dive/blob/1aea95911563175f5553379aa1d34926f5bde93e/README.md,CC-BY-4.0,README_metadata,,available,not_applicable,not_located,not_applicable,not_located,not_located,not_located,Evidence-graded deep dive into Jev’s interface and evidence.,"A guide, not a systematic review with a documented protocol."
gh:mabodx/awesome-jev,mabodx/awesome-jev,catalogue,catalogue,,badcdf7f86e1b8b7e56f5d396876f0e76d24a0a1,https://github.com/mabodx/awesome-jev/blob/badcdf7f86e1b8b7e56f5d396876f0e76d24a0a1/README.md,NOASSERTION,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:majiayu000/awesome-jev,majiayu000/awesome-jev,catalogue,catalogue,,df002eae87c04e995703672034d65de57f7d47f9,https://github.com/majiayu000/awesome-jev/blob/df002eae87c04e995703672034d65de57f7d47f9/README.md,CC0-1.0,README_metadata,,,,,,,,,Community catalogue audited as a discovery source; entries require primary-source verification.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
gh:mapika/decider,Mapika/decider,priority,model,finetuned_decoder,7557fe058e0b31ffcf754b7c5bb31a452454ce89,https://github.com/Mapika/decider/blob/7557fe058e0b31ffcf754b7c5bb31a452454ce89/README.md,Apache-2.0,README_metadata,,available,available,partial,available,not_located,not_located,not_located,"One-pass typed decisions (Choice 2–255 options, Score 2–10 levels, Noul) from decoders built on Qwen3.5-2B/4B/35B-A3B; training mixture of public data plus labels from a local Qwen3.5-27B teacher.",Base of this-that-model-1.0; derived checkpoints are not independent methods.
gh:marcosmartinez/jev-acento,marcosmartinez/jev-acento,priority,evaluation,,7e007b4c2bd552471b56eff035f9a3df7593f9fe,https://github.com/marcosmartinez/jev-acento/blob/7e007b4c2bd552471b56eff035f9a3df7593f9fe/README.md,MIT,README_metadata,,available,not_applicable,not_located,not_applicable,available,not_located,available,"Pre-registered audit of jev-1.13.0 on Spanish: 3,200 paired items, 19,200 calls, plus a CLI to rerun on labelled data.",Task- and version-specific; community report.
gh:mmastrac/djev,mmastrac/djev,priority,adapter,diffusion_readout,442eab6ed4a7694e20ae5f9171cfc5e4e5455771,https://github.com/mmastrac/djev/blob/442eab6ed4a7694e20ae5f9171cfc5e4e5455771/README.md,Apache-2.0,README_metadata,,available,not_applicable,not_located,available,not_located,not_located,not_located,"Example server for Jev-style structured reads on DiffusionGemma: seeds the answer template, pins positions and reads slot distributions after one denoising step.",Relies on request extensions from vLLM PR #57250; a PR reference is not a merged feature.
gh:mrjev/awesome-jev,MrJev/awesome-jev,catalogue,catalogue,,bb02f565df95bb1b049522569705d2bf8e6773c2,https://github.com/MrJev/awesome-jev/blob/bb02f565df95bb1b049522569705d2bf8e6773c2/README.md,CC0-1.0,README_metadata,,,,,,,,,Another ecosystem list for candidate discovery.,"Discovery source, not evidence; link counts include unrelated infrastructure and baselines."
