full_name,html_url,description,license,stargazers_count,commit,commit_date,readme_permanent_url,retrieved_at_utc,sampled_source_files,audit_depth,independently_executed
pozapas/jev-calibrated-narrative-coding,https://github.com/pozapas/jev-calibrated-narrative-coding,"Calibrated conversion of police crash narratives into probabilistic crash variables with a System One model. Pipeline, schema and aggregated results.",MIT,0,850fe4f0db35f165b56247a53d786cd1dfc12302,2026-09-21T02:36:03Z,https://github.com/pozapas/jev-calibrated-narrative-coding/blob/850fe4f0db35f165b56247a53d786cd1dfc12302/README.md,2026-09-23T06:23:09.674713+00:00,[],README_metadata,False
scienthoon/jev-ood-calibration,https://github.com/scienthoon/jev-ood-calibration,"Independent calibration test of TypeSafe's Jev on a task it cannot have seen: 900 rule-generated support tickets (choice / score / boolean) plus 3 public benchmarks via Vercel AI Gateway. Raw responses, ECE with noise floor, temperature refit, per-type sign of miscalibration. Reproducible for ~$0.06.",MIT,6,914d87ab16517f14e833cff63d73b51235b14bd6,2026-09-22T08:38:13Z,https://github.com/scienthoon/jev-ood-calibration/blob/914d87ab16517f14e833cff63d73b51235b14bd6/README.md,2026-09-23T06:23:10.180696+00:00,[],README_metadata,False
AbdelStark/jev-benchmarks,https://github.com/AbdelStark/jev-benchmarks,"Probability-aware evaluation for typed decision models: calibration, selective risk, latency, and reproducible benchmarks.",Apache-2.0,17,0d610cc53e79bcbec691312b0c4adb4a0e371642,2026-09-17T07:53:49Z,https://github.com/AbdelStark/jev-benchmarks/blob/0d610cc53e79bcbec691312b0c4adb4a0e371642/README.md,2026-09-23T06:23:10.732573+00:00,[],README_metadata,False
instax-dutta/sysone-bench,https://github.com/instax-dutta/sysone-bench,First independent head-to-head benchmark of System One decision models (Laya vs Jev) on byte-identical inputs,MIT,4,1ac3650a65e3783ac9615f26b02bc7c1d5ad3b23,2026-09-22T19:30:40Z,https://github.com/instax-dutta/sysone-bench/blob/1ac3650a65e3783ac9615f26b02bc7c1d5ad3b23/README.md,2026-09-23T06:23:10.843531+00:00,[],README_metadata,False
jjd-lab/jev-synthetic-survey,https://github.com/jjd-lab/jev-synthetic-survey,Jev vs GPT-4.1 as synthetic survey respondents on Twin-2K-500. How you ask mattered more than which model you used.,MIT,1,8dbb40db3a69e4d174b5962ffef3bdb8ee7e7a68,2026-09-22T13:25:14Z,https://github.com/jjd-lab/jev-synthetic-survey/blob/8dbb40db3a69e4d174b5962ffef3bdb8ee7e7a68/README.md,2026-09-23T06:23:10.980761+00:00,[],README_metadata,False
fstandhartinger/jevbench,https://github.com/fstandhartinger/jevbench,"JevBench v1 - a benchmark for Jev-class typed decision models: smart, cheap, fast, reliable, open.",MIT,84,f79a1cab94ab9a5879383b7ef9ee1805b9dc2d84,2026-09-22T23:20:18Z,https://github.com/fstandhartinger/jevbench/blob/f79a1cab94ab9a5879383b7ef9ee1805b9dc2d84/README.md,2026-09-23T06:23:11.442288+00:00,[],README_metadata,False
Yifan-Lan/awesome-jev-robustness,https://github.com/Yifan-Lan/awesome-jev-robustness,"Tests, calibration audits and failure-mode studies of Jev (TypeSafe System One): jaggedness, consistency, injection, abstention.",CC0-1.0,1,24c8b505765bc5d3b36530fc3e6b55ab37e62382,2026-09-23T05:58:44Z,https://github.com/Yifan-Lan/awesome-jev-robustness/blob/24c8b505765bc5d3b36530fc3e6b55ab37e62382/README.md,2026-09-23T06:23:12.098035+00:00,[],README_metadata,False
LouisUltra/jev-deep-dive,https://github.com/LouisUltra/jev-deep-dive,"An evidence-graded deep dive into Jev (TypeSafe AI's System One model): interface, verification, reproduction comparison, and field guide. Bilingual (EN/中文), with runnable probe tools.",CC-BY-4.0,1,1aea95911563175f5553379aa1d34926f5bde93e,2026-09-20T17:23:31Z,https://github.com/LouisUltra/jev-deep-dive/blob/1aea95911563175f5553379aa1d34926f5bde93e/README.md,2026-09-23T06:23:12.116558+00:00,[],README_metadata,False
browser-use/jev-ultrafast,https://github.com/browser-use/jev-ultrafast,Fastest and cheapest web agent,MIT,18397,1231850a0bf1a0c0341fe408ef1668dbbfdfac46,2026-09-18T16:28:35Z,https://github.com/browser-use/jev-ultrafast/blob/1231850a0bf1a0c0341fe408ef1668dbbfdfac46/README.md,2026-09-23T06:23:12.299412+00:00,"[""jev_ultrafast/model.py""]",README_metadata_and_selected_source,False
pCwOrM/werr,https://github.com/pCwOrM/werr,Zero-memory System-1 decision engine & TypeSafe Jev wire-compatible runtime powered by Mandelbrot wave dynamics (JevBench #1).,NOASSERTION,3,2c3138200f1725f0efd8598b8b84729abde67c95,2026-09-23T01:28:14Z,https://github.com/pCwOrM/werr/blob/2c3138200f1725f0efd8598b8b84729abde67c95/README.md,2026-09-23T06:23:12.938757+00:00,[],README_metadata,False
typesafe-ai/typesafe-sdk-python,https://github.com/typesafe-ai/typesafe-sdk-python,The official Python library for the TypeSafe API,MIT,207,0ffd094c72ed9445223060b24ffd7a56aa781fb4,2026-09-21T15:57:06Z,https://github.com/typesafe-ai/typesafe-sdk-python/blob/0ffd094c72ed9445223060b24ffd7a56aa781fb4/README.md,2026-09-23T06:23:49.456741+00:00,[],README_metadata,False
typesafe-ai/typesafe-sdk-js,https://github.com/typesafe-ai/typesafe-sdk-js,The official TypeScript/JavaScript library for the TypeSafe API,MIT,226,66880ccded6cb642dc1809620c2b108c33730214,2026-09-15T18:16:33Z,https://github.com/typesafe-ai/typesafe-sdk-js/blob/66880ccded6cb642dc1809620c2b108c33730214/README.md,2026-09-23T06:23:51.037383+00:00,[],README_metadata,False
typesafe-ai/system-one-adapter-python,https://github.com/typesafe-ai/system-one-adapter-python,Drop-in TypeSafeClient replacement backed by LLM APIs,MIT,270,e1d4cc938204b22fc5a3c3aca7044072fe3f712d,2026-09-22T12:24:27Z,https://github.com/typesafe-ai/system-one-adapter-python/blob/e1d4cc938204b22fc5a3c3aca7044072fe3f712d/README.md,2026-09-23T06:23:52.427304+00:00,"[""src/system_one_adapter/_client.py""]",README_metadata_and_selected_source,False
hazemibrahim97/decision-models-css,https://github.com/hazemibrahim97/decision-models-css,Replication package: evaluating decision models for text annotation in computational social science,MIT,0,45b71ce8403eababae18cc51dda5ecb6d67e05e4,2026-09-21T05:41:42Z,https://github.com/hazemibrahim97/decision-models-css/blob/45b71ce8403eababae18cc51dda5ecb6d67e05e4/README.md,2026-09-23T06:23:54.090835+00:00,"[""pilot_jev.py""]",README_metadata_and_selected_source,False
jujumilk3/jev-calibration-audit,https://github.com/jujumilk3/jev-calibration-audit,Independent API-only calibration audit of TypeSafe AI's Jev decision model,MIT,0,daab9e2c2d5d5683bf07f3482deb653c26856219,2026-09-18T09:31:34Z,https://github.com/jujumilk3/jev-calibration-audit/blob/daab9e2c2d5d5683bf07f3482deb653c26856219/README.md,2026-09-23T06:24:39.410170+00:00,[],README_metadata,False
marcosmartinez/jev-acento,https://github.com/marcosmartinez/jev-acento,"¿Jev entiende tu acento? Pre-registered audit of TypeSafe AI's Jev on Spanish — accuracy, calibration and token cost — plus a CLI to run the same comparison on your own labelled data.",MIT,0,7e007b4c2bd552471b56eff035f9a3df7593f9fe,2026-09-21T01:11:53Z,https://github.com/marcosmartinez/jev-acento/blob/7e007b4c2bd552471b56eff035f9a3df7593f9fe/README.md,2026-09-23T06:24:40.859335+00:00,[],README_metadata,False
jourdanlabs/assay-001,https://github.com/jourdanlabs/assay-001,"ASSAY-001: independent, pre-registered verification of TypeSafe Jev's calibration and type-safety claims. Split verdict, published in full.",NOASSERTION,0,b7f71053a88025a5af80af00801c5ce725c9547d,2026-09-21T00:09:34Z,https://github.com/jourdanlabs/assay-001/blob/b7f71053a88025a5af80af00801c5ce725c9547d/README.md,2026-09-23T06:24:42.261984+00:00,[],README_metadata,False
mmastrac/djev,https://github.com/mmastrac/djev,Jev-style structured decisions on DiffusionGemma: the example server from vLLM PR 57250,Apache-2.0,37,442eab6ed4a7694e20ae5f9171cfc5e4e5455771,2026-09-21T23:48:00Z,https://github.com/mmastrac/djev/blob/442eab6ed4a7694e20ae5f9171cfc5e4e5455771/README.md,2026-09-23T06:46:41.050864+00:00,[],README_metadata,False
razorback16/openjev,https://github.com/razorback16/openjev,"Open, Jev-compatible System One decision server on DiffusionGemma",Apache-2.0,326,3e296f085ce88e5da3850288646b3429eb476774,2026-09-23T02:02:48Z,https://github.com/razorback16/openjev/blob/3e296f085ce88e5da3850288646b3429eb476774/README.md,2026-09-23T06:46:41.051225+00:00,[],README_metadata,False
githubnext/localjev,https://github.com/githubnext/localjev,,MIT,733,3f23e36e1a3bff46c7e83e8e3781d3512bc82021,2026-09-18T20:17:51Z,https://github.com/githubnext/localjev/blob/3f23e36e1a3bff46c7e83e8e3781d3512bc82021/README.md,2026-09-23T06:46:41.051244+00:00,[],README_metadata,False
