full_name,requested_repo,html_url,description,license,stargazers_count,fork,parent,created_at,pushed_at,commit,commit_date,readme_permanent_url,readme_snapshot,retrieved_at_utc,status,external_candidate_repo_links,overlap_with_hellogumbo,additional_links_vs_hellogumbo,jaccard_with_hellogumbo,readme_arxiv_ids,error
Frank-ZY-Dou/awesome-jev,Frank-ZY-Dou/awesome-jev,https://github.com/Frank-ZY-Dou/awesome-jev,"Public examples of Jev used for robot control, 3D modeling and adjacent control tasks, with sources and archived media",NOASSERTION,10,False,,2026-09-19T21:06:19Z,2026-09-21T04:01:49Z,0f2a8aa1eb984195d3f34890e2d471e45539826d,2026-09-21T04:01:49Z,https://github.com/Frank-ZY-Dou/awesome-jev/blob/0f2a8aa1eb984195d3f34890e2d471e45539826d/README.md,sources/github/Frank-ZY-Dou__awesome-jev/README.md,2026-09-23T06:20:22.416310+00:00,ok,23,12,11,0.014925,[],
Gerry9000/awesome-jev,Gerry9000/awesome-jev,https://github.com/Gerry9000/awesome-jev,"Curated directory of real-world tools, interactive video teardowns, empirical benchmarks, and fast System One decision models.",NOASSERTION,1,False,,2026-09-21T08:43:04Z,2026-09-22T19:54:50Z,670b3138a33249820d676c9786670f861ed72e40,2026-09-22T19:54:49Z,https://github.com/Gerry9000/awesome-jev/blob/670b3138a33249820d676c9786670f861ed72e40/README.md,sources/github/Gerry9000__awesome-jev/README.md,2026-09-23T06:18:07.947857+00:00,ok,149,125,24,0.152999,[],
JingHao-Leon/awesome-jev-apps,JingHao-Leon/awesome-jev-apps,https://github.com/JingHao-Leon/awesome-jev-apps,Jev 优质应用与生态精选｜System One 决策模型：开源应用·SDK·平台集成·开源复刻·教程 | curated apps & SDKs for TypeSafe AI's Jev model,MIT,0,False,,2026-09-21T10:13:05Z,2026-09-22T17:01:42Z,8be94563d430eeb3cf5b91098634663ac851969e,2026-09-22T17:01:39Z,https://github.com/JingHao-Leon/awesome-jev-apps/blob/8be94563d430eeb3cf5b91098634663ac851969e/README.md,sources/github/JingHao-Leon__awesome-jev-apps/README.md,2026-09-23T06:18:08.175125+00:00,ok,37,21,16,0.025958,[],
JohnDotOwl/awesome-jev,JohnDotOwl/awesome-jev,https://github.com/JohnDotOwl/awesome-jev,"A curated list of projects built on Jev, TypeSafe AI's System One model.",CC0-1.0,1,False,,2026-09-18T06:41:13Z,2026-09-23T03:23:34Z,596adbb8e56a0b8f112a17c6cad441ad4fe07a40,2026-09-18T06:41:12Z,https://github.com/JohnDotOwl/awesome-jev/blob/596adbb8e56a0b8f112a17c6cad441ad4fe07a40/README.md,sources/github/JohnDotOwl__awesome-jev/README.md,2026-09-23T06:18:09.707603+00:00,ok,297,204,93,0.230248,[],
Justmalhar/awesome-jev-apps,Justmalhar/awesome-jev-apps,https://github.com/Justmalhar/awesome-jev-apps,Awesome Collection of apps built with Jev - a System One model,MIT,2,False,,2026-09-18T21:35:52Z,2026-09-19T18:26:46Z,4e1395ec756a707706df815fa8072c194e52e2a0,2026-09-19T18:26:46Z,https://github.com/Justmalhar/awesome-jev-apps/blob/4e1395ec756a707706df815fa8072c194e52e2a0/README.md,sources/github/Justmalhar__awesome-jev-apps/README.md,2026-09-23T06:20:22.443956+00:00,ok,0,0,0,0.0,[],
KennethAshley/awesome-jev,KennethAshley/awesome-jev,https://github.com/KennethAshley/awesome-jev,"A curated list of projects, SDKs, and write-ups built on Jev, TypeSafe AI's System One model for typed decisions.",CC0-1.0,0,False,,2026-09-21T16:46:03Z,2026-09-21T17:47:26Z,c7aee8964a8fbade04cdcb942dab9e994d75aec4,2026-09-21T17:47:25Z,https://github.com/KennethAshley/awesome-jev/blob/c7aee8964a8fbade04cdcb942dab9e994d75aec4/README.md,sources/github/KennethAshley__awesome-jev/README.md,2026-09-23T06:20:22.487852+00:00,ok,397,249,148,0.264612,[],
KuzanJ/awesome-jev,KuzanJ/awesome-jev,https://github.com/KuzanJ/awesome-jev,"Open models, libraries, tools, and applications for Jev and System One decisions.",NOASSERTION,1,False,,2026-09-21T12:15:33Z,2026-09-21T12:26:18Z,9f17d5b6cdc943441d8098f47c4beea0c93e8a19,2026-09-21T12:26:08Z,https://github.com/KuzanJ/awesome-jev/blob/9f17d5b6cdc943441d8098f47c4beea0c93e8a19/README.md,sources/github/KuzanJ__awesome-jev/README.md,2026-09-23T06:20:23.614042+00:00,ok,76,65,11,0.080846,[],
Li-Evan/awesome-jev,Li-Evan/awesome-jev,https://github.com/Li-Evan/awesome-jev,"The most complete gallery of what people build with Jev, TypeSafe's System One model: 3,400+ projects, demos, and write-ups by scenario, each with its original link, image, and description.",CC0-1.0,5,False,,2026-09-21T14:40:48Z,2026-09-22T11:30:01Z,00a2666f957c3b0298188d58e36b01d499d8057f,2026-09-22T11:29:54Z,https://github.com/Li-Evan/awesome-jev/blob/00a2666f957c3b0298188d58e36b01d499d8057f/README.md,sources/github/Li-Evan__awesome-jev/README.md,2026-09-23T06:20:23.743214+00:00,ok,79,26,53,0.030733,[],
LouisUltra/jev-deep-dive,LouisUltra/jev-deep-dive,https://github.com/LouisUltra/jev-deep-dive,"An evidence-graded deep dive into Jev (TypeSafe AI's System One model): interface, verification, reproduction comparison, and field guide. Bilingual (EN/中文), with runnable probe tools.",CC-BY-4.0,1,False,,2026-09-20T17:19:10Z,2026-09-20T17:23:34Z,1aea95911563175f5553379aa1d34926f5bde93e,2026-09-20T17:23:31Z,https://github.com/LouisUltra/jev-deep-dive/blob/1aea95911563175f5553379aa1d34926f5bde93e/README.md,sources/github/LouisUltra__jev-deep-dive/README.md,2026-09-23T06:18:09.778341+00:00,ok,10,6,4,0.007528,[],
MrJev/awesome-jev,MrJev/awesome-jev,https://github.com/MrJev/awesome-jev,"A curated list of projects, integrations, and resources for Jev, TypeSafe AI's System One model. ",CC0-1.0,10,False,,2026-09-18T07:52:12Z,2026-09-23T05:33:51Z,bb02f565df95bb1b049522569705d2bf8e6773c2,2026-09-23T05:33:49Z,https://github.com/MrJev/awesome-jev/blob/bb02f565df95bb1b049522569705d2bf8e6773c2/README.md,sources/github/MrJev__awesome-jev/README.md,2026-09-23T06:18:09.800824+00:00,ok,270,163,107,0.181111,[],
MumuTW/awesome-jev,MumuTW/awesome-jev,https://github.com/MumuTW/awesome-jev,"Get Jev fast — TypeSafe’s sharp System One for typed decisions, plus kindred models the community is buzzing about.",CC0-1.0,1,False,,2026-09-18T18:06:23Z,2026-09-19T08:36:51Z,0b82038147e9d4a7407949d3afaca5257a496119,2026-09-19T08:36:50Z,https://github.com/MumuTW/awesome-jev/blob/0b82038147e9d4a7407949d3afaca5257a496119/readme.md,sources/github/MumuTW__awesome-jev/README.md,2026-09-23T06:20:23.820169+00:00,ok,32,23,9,0.028678,[],
OmniJev/awesome-jev-gallery,OmniJev/awesome-jev-gallery,https://github.com/OmniJev/awesome-jev-gallery,"🔥🔥 Papers, open reproductions and independent evaluations behind System One models and Jev.",NOASSERTION,217,False,,2026-09-17T20:16:57Z,2026-09-23T03:31:34Z,78584215451e55921007605f5a93613776ab543d,2026-09-23T03:28:20Z,https://github.com/OmniJev/awesome-jev-gallery/blob/78584215451e55921007605f5a93613776ab543d/README.md,sources/github/OmniJev__awesome-jev-gallery/README.md,2026-09-23T06:18:09.826229+00:00,ok,102,55,47,0.065476,"[""1901.04085"", ""1909.00161"", ""2010.06002"", ""2203.02155"", ""2303.08774"", ""2306.05685"", ""2307.09702"", ""2309.06180"", ""2310.03714"", ""2311.08526"", ""2312.06674"", ""2406.18665"", ""2408.02442"", ""2501.10868"", ""2501.18837"", ""2502.09992"", ""2503.02623"", ""2506.12181"", ""2506.17298"", ""2507.16806"", ""2508.07662"", ""2601.13284""]",
Omrigotlieb/awesome-jev,Omrigotlieb/awesome-jev,https://github.com/Omrigotlieb/awesome-jev,"Verified, screenshot-rich awesome list of projects built on Jev — TypeSafe AI's System One model for typed decisions",NOASSERTION,1,False,,2026-09-21T12:12:16Z,2026-09-22T21:20:53Z,8cbf0134b049ac7afa07dce47e5fe27d3cb0a45a,2026-09-22T21:20:52Z,https://github.com/Omrigotlieb/awesome-jev/blob/8cbf0134b049ac7afa07dce47e5fe27d3cb0a45a/README.md,sources/github/Omrigotlieb__awesome-jev/README.md,2026-09-23T06:18:11.386913+00:00,ok,829,631,198,0.636731,[],
Pleo2/awesome-jev-agent-skills,Pleo2/awesome-jev-agent-skills,https://github.com/Pleo2/awesome-jev-agent-skills,"Jev-powered AI agent skills for Codex and Claude Code: code review, testing, debugging, extraction and QA evidence. Open source, MIT.",MIT,0,False,,2026-09-20T12:04:35Z,2026-09-20T12:13:29Z,42e3d179d25c33c10d20936dc71dac76a4b6bb90,2026-09-20T12:13:27Z,https://github.com/Pleo2/awesome-jev-agent-skills/blob/42e3d179d25c33c10d20936dc71dac76a4b6bb90/README.md,sources/github/Pleo2__awesome-jev-agent-skills/README.md,2026-09-23T06:20:24.296597+00:00,ok,0,0,0,0.0,[],
Promethe-us/awesome-jev,Promethe-us/awesome-jev,https://github.com/Promethe-us/awesome-jev,,MIT,122,False,,2026-09-20T11:59:48Z,2026-09-22T08:05:30Z,636623538eda3c363b8c396880ccdc8aba70d424,2026-09-22T08:04:32Z,https://github.com/Promethe-us/awesome-jev/blob/636623538eda3c363b8c396880ccdc8aba70d424/README.md,sources/github/Promethe-us__awesome-jev/README.md,2026-09-23T06:18:11.387015+00:00,ok,19,12,7,0.015,"[""2307.12950"", ""2502.09992"", ""2503.23303"", ""2510.01237"", ""2606.25331""]",
Python-World/Awesome-jev,Python-World/Awesome-jev,https://github.com/Python-World/Awesome-jev,"A community-curated collection of things people are building with Jev, with a focus on resources useful to Python developers.",Apache-2.0,0,False,,2026-09-22T18:34:31Z,2026-09-22T19:27:46Z,b7aefb4add2054507413ddc22cc16f3430c11f6b,2026-09-22T19:27:46Z,https://github.com/Python-World/Awesome-jev/blob/b7aefb4add2054507413ddc22cc16f3430c11f6b/README.md,sources/github/Python-World__Awesome-jev/README.md,2026-09-23T06:18:11.837572+00:00,ok,2,2,0,0.002522,[],
RadRebelSam/awesome-jev,RadRebelSam/awesome-jev,https://github.com/RadRebelSam/awesome-jev,"A crawler-maintained directory of projects built on Jev, TypeSafe AI's System One model. Daily GitHub + npm sweep, human-merged.",NOASSERTION,1,False,,2026-09-20T05:39:19Z,2026-09-22T12:03:11Z,ff3cc20209dadd455f3b7c534fe7c2b05bd3d6c4,2026-09-22T12:03:09Z,https://github.com/RadRebelSam/awesome-jev/blob/ff3cc20209dadd455f3b7c534fe7c2b05bd3d6c4/README.md,sources/github/RadRebelSam__awesome-jev/README.md,2026-09-23T06:20:25.300412+00:00,ok,847,456,391,0.385135,[],
SFzxc/awesome-with-jev,SFzxc/awesome-with-jev,https://github.com/SFzxc/awesome-with-jev,,NOASSERTION,0,False,,2026-09-19T14:46:45Z,2026-09-19T14:46:46Z,,,,,2026-09-23T06:20:25.442207+00:00,error,0,0,0,0.0,[],gh: Git Repository is empty. (HTTP 409)
SeeAPI/awesome-jev-use-cases,SeeAPI/awesome-jev-use-cases,https://github.com/SeeAPI/awesome-jev-use-cases,"Explore real-world use cases and projects built with TypeSafe AI's Jev: content moderation, AI agents, model routing, and semantic search. Curated by SeeAPI.",CC-BY-4.0,3,False,,2026-09-18T02:37:24Z,2026-09-20T10:10:42Z,4e8182ec3473b4ed2e7608362f10d6d3f2c358cf,2026-09-20T10:10:34Z,https://github.com/SeeAPI/awesome-jev-use-cases/blob/4e8182ec3473b4ed2e7608362f10d6d3f2c358cf/README.md,sources/github/SeeAPI__awesome-jev-use-cases/README.md,2026-09-23T06:20:25.781338+00:00,ok,78,67,11,0.083333,[],
Vishnurr2k01/awesome-jev,Vishnurr2k01/awesome-jev,https://github.com/Vishnurr2k01/awesome-jev,,CC0-1.0,0,False,,2026-09-20T16:18:11Z,2026-09-20T16:52:28Z,e2495ee4050413c969345a7833a6ebdf5f85dc46,2026-09-20T16:39:45Z,https://github.com/Vishnurr2k01/awesome-jev/blob/e2495ee4050413c969345a7833a6ebdf5f85dc46/README.md,sources/github/Vishnurr2k01__awesome-jev/README.md,2026-09-23T06:20:26.258261+00:00,ok,122,103,19,0.126847,[],
Yifan-Lan/awesome-jev-robustness,Yifan-Lan/awesome-jev-robustness,https://github.com/Yifan-Lan/awesome-jev-robustness,"Tests, calibration audits and failure-mode studies of Jev (TypeSafe System One): jaggedness, consistency, injection, abstention.",CC0-1.0,1,False,,2026-09-23T05:37:15Z,2026-09-23T05:58:44Z,24c8b505765bc5d3b36530fc3e6b55ab37e62382,2026-09-23T05:58:44Z,https://github.com/Yifan-Lan/awesome-jev-robustness/blob/24c8b505765bc5d3b36530fc3e6b55ab37e62382/README.md,sources/github/Yifan-Lan__awesome-jev-robustness/README.md,2026-09-23T06:18:12.085110+00:00,ok,96,16,80,0.018328,[],
Zhao-Tian-yi/awesome-jev,Zhao-Tian-yi/awesome-jev,https://github.com/Zhao-Tian-yi/awesome-jev,awesome-awesome-jev,NOASSERTION,1,False,,2026-09-21T08:33:14Z,2026-09-22T03:56:55Z,0f5698d20fec3acb246695f14b0ea676649fe714,2026-09-22T03:56:54Z,https://github.com/Zhao-Tian-yi/awesome-jev/blob/0f5698d20fec3acb246695f14b0ea676649fe714/README.md,sources/github/Zhao-Tian-yi__awesome-jev/README.md,2026-09-23T06:20:26.376346+00:00,ok,25,20,5,0.025063,[],
aitofy-dev/jev-awesome-skills,aitofy-dev/jev-awesome-skills,https://github.com/aitofy-dev/jev-awesome-skills,"Open-source Jev skills for Claude Code, Codex, Cursor, and Grok. TypeSafe System One: choice, noul, score. Proceed, ask, or stop.",MIT,0,False,,2026-09-21T19:08:02Z,2026-09-21T19:35:28Z,544f447cc1f2c1a9a967ce1368a3017be98efb20,2026-09-21T19:35:24Z,https://github.com/aitofy-dev/jev-awesome-skills/blob/544f447cc1f2c1a9a967ce1368a3017be98efb20/README.md,sources/github/aitofy-dev__jev-awesome-skills/README.md,2026-09-23T06:20:27.815285+00:00,ok,10,10,0,0.01261,[],
aliaihub/awesome-jev-usecases,aliaihub/awesome-jev-usecases,https://github.com/aliaihub/awesome-jev-usecases,"Evidence-backed use cases, patterns, and guidance for building with Jev, TypeSafe AI's System One model. Every claim is labeled and sourced.",NOASSERTION,18,False,,2026-09-17T22:07:47Z,2026-09-23T02:10:58Z,2bb18814949b18143260e9138fe5b009da8fb134,2026-09-23T02:10:58Z,https://github.com/aliaihub/awesome-jev-usecases/blob/2bb18814949b18143260e9138fe5b009da8fb134/README.md,sources/github/aliaihub__awesome-jev-usecases/README.md,2026-09-23T06:18:13.769820+00:00,ok,18,13,5,0.016291,[],
anandi1989/awesome-jev-usecases,anandi1989/awesome-jev-usecases,https://github.com/anandi1989/awesome-jev-usecases,"Evidence-backed index of real-world Jev (TypeSafe AI System One) use cases: repos, patterns, benchmarks, and measured results",MIT,16,False,,2026-09-18T08:03:52Z,2026-09-22T17:54:09Z,8cb8286ad9a2e103aac632911fe409e8445cb4e7,2026-09-22T17:54:08Z,https://github.com/anandi1989/awesome-jev-usecases/blob/8cb8286ad9a2e103aac632911fe409e8445cb4e7/README.md,sources/github/anandi1989__awesome-jev-usecases/README.md,2026-09-23T06:18:13.800073+00:00,ok,63,52,11,0.064677,[],
arita37/awesome-jev-tools,arita37/awesome-jev-tools,https://github.com/arita37/awesome-jev-tools,list of all tools for JEV and Physical AI and robotics,NOASSERTION,0,False,,2026-09-19T16:48:13Z,2026-09-19T16:48:14Z,23ed65230d1486e22f5e573709b1a065c18fe3b4,2026-09-19T16:48:13Z,https://github.com/arita37/awesome-jev-tools/blob/23ed65230d1486e22f5e573709b1a065c18fe3b4/README.md,sources/github/arita37__awesome-jev-tools/README.md,2026-09-23T06:20:27.819307+00:00,ok,0,0,0,0.0,[],
arthurxiaocn/awesome-jev,arthurxiaocn/awesome-jev,https://github.com/arthurxiaocn/awesome-jev,awesome Jev model use cases,NOASSERTION,0,False,,2026-09-22T05:28:10Z,2026-09-22T05:28:11Z,,,,,2026-09-23T06:20:27.917385+00:00,error,0,0,0,0.0,[],gh: Git Repository is empty. (HTTP 409)
cagbal/awesome-jev,cagbal/awesome-jev,https://github.com/cagbal/awesome-jev,Curated list of jev related stuff,MIT,0,False,,2026-09-17T15:47:29Z,2026-09-19T17:43:15Z,a39901ffe9892200c2fdec6632709a769e6f41a6,2026-09-19T17:43:15Z,https://github.com/cagbal/awesome-jev/blob/a39901ffe9892200c2fdec6632709a769e6f41a6/README.md,sources/github/cagbal__awesome-jev/README.md,2026-09-23T06:20:28.000506+00:00,ok,14,14,0,0.017654,[],
ckaraca/awesome-jev,ckaraca/awesome-jev,https://github.com/ckaraca/awesome-jev,"A curated list of tools, integrations, and experiments built on Jev, TypeSafe AI's System One model for fast, typed decisions.",CC0-1.0,9,False,,2026-09-19T00:52:55Z,2026-09-21T13:29:11Z,d890033d4a7b8e06ff7879c21382afe0bf7bb840,2026-09-21T13:29:11Z,https://github.com/ckaraca/awesome-jev/blob/d890033d4a7b8e06ff7879c21382afe0bf7bb840/README.md,sources/github/ckaraca__awesome-jev/README.md,2026-09-23T06:20:28.741811+00:00,ok,93,52,41,0.06235,[],
cobanov/awesome-jev,cobanov/awesome-jev,https://github.com/cobanov/awesome-jev,"A curated, source-backed list of projects built with Jev, TypeSafe AI's System One model for typed decisions.",CC0-1.0,357,False,,2026-09-18T10:12:18Z,2026-09-23T05:37:57Z,83b4a86294e1de98883161a42e923bf1db1359f6,2026-09-23T05:37:55Z,https://github.com/cobanov/awesome-jev/blob/83b4a86294e1de98883161a42e923bf1db1359f6/README.md,sources/github/cobanov__awesome-jev/README.md,2026-09-23T06:18:13.818836+00:00,ok,202,130,72,0.150289,[],
daftAI2026/awesome-jev,daftAI2026/awesome-jev,https://github.com/daftAI2026/awesome-jev,TypeSafe System One / Jev community directory — GitHub projects & posts around typed decisions (typesafe.ai),NOASSERTION,6,False,,2026-09-18T09:19:53Z,2026-09-23T04:52:43Z,240f10d02a0bcd14668a2f7124d5b33261499033,2026-09-23T04:52:42Z,https://github.com/daftAI2026/awesome-jev/blob/240f10d02a0bcd14668a2f7124d5b33261499033/README.md,sources/github/daftAI2026__awesome-jev/README.md,2026-09-23T06:18:13.958253+00:00,ok,1076,436,640,0.304257,[],
dog-last/awesome-jev,dog-last/awesome-jev,https://github.com/dog-last/awesome-jev,"A curated guide to Jev, TypeSafe AI's System One decision model — selection advice, API-verified cookbooks, independent evaluations, and 100+ community. 中英双语",MIT,1,False,,2026-09-20T05:40:15Z,2026-09-20T10:00:41Z,206fdcab0e1cdab0d2f4fe9aeaf09a7d2b8b2f43,2026-09-20T10:00:27Z,https://github.com/dog-last/awesome-jev/blob/206fdcab0e1cdab0d2f4fe9aeaf09a7d2b8b2f43/README.md,sources/github/dog-last__awesome-jev/README.md,2026-09-23T06:20:29.289241+00:00,ok,130,81,49,0.0962,[],
evan87863/awesome-jev-examples,evan87863/awesome-jev-examples,https://github.com/evan87863/awesome-jev-examples,"A curated collection of TypeSafe Jev projects, examples, tutorials, and demos from GitHub, the web, X, and YouTube. Organized by use case, with concise summaries and original sources. Available in English, Chinese, Japanese, and Spanish.",MIT,1,False,,2026-09-19T11:05:05Z,2026-09-19T11:22:36Z,a1e5b11c6df8c36185a8d3bd622001720391a423,2026-09-19T11:22:31Z,https://github.com/evan87863/awesome-jev-examples/blob/a1e5b11c6df8c36185a8d3bd622001720391a423/README.md,sources/github/evan87863__awesome-jev-examples/README.md,2026-09-23T06:20:29.297650+00:00,ok,47,41,6,0.051314,[],
fanly/Jev-awesome,fanly/Jev-awesome,https://github.com/fanly/Jev-awesome,,NOASSERTION,1,False,,2026-09-19T12:46:04Z,2026-09-20T05:01:14Z,a69bf584d687e025a5f191520d9d6cd17653ded6,2026-09-20T04:13:55Z,https://github.com/fanly/Jev-awesome/blob/a69bf584d687e025a5f191520d9d6cd17653ded6/README.md,sources/github/fanly__Jev-awesome/README.md,2026-09-23T06:20:29.425095+00:00,ok,10,8,2,0.010063,[],
fatwang2/awesome-jev,fatwang2/awesome-jev,https://github.com/fatwang2/awesome-jev,A source-backed Jev project directory with a reusable Jev-only GitHub review workflow.,MIT,199,False,,2026-09-18T02:45:39Z,2026-09-22T13:12:03Z,9d53131da2b0433fc625d5014ce19f9fb74d6af5,2026-09-22T13:12:02Z,https://github.com/fatwang2/awesome-jev/blob/9d53131da2b0433fc625d5014ce19f9fb74d6af5/README.md,sources/github/fatwang2__awesome-jev/README.md,2026-09-23T06:20:30.171202+00:00,ok,162,131,31,0.158981,[],
fivetaku/awesome-jev-study,fivetaku/awesome-jev-study,https://github.com/fivetaku/awesome-jev-study,"Korean and English study of the awesome-jev list: what Jev is, the role it plays in each row, what the list and page fronts show about setup, and how an LLM or a script would differ. Not a source audit.",NOASSERTION,0,False,,2026-09-22T15:26:05Z,2026-09-22T16:21:24Z,3c254c45d726c2bae391b5a40fa110362f9b7a85,2026-09-22T16:21:10Z,https://github.com/fivetaku/awesome-jev-study/blob/3c254c45d726c2bae391b5a40fa110362f9b7a85/README.md,sources/github/fivetaku__awesome-jev-study/README.md,2026-09-23T06:18:15.040056+00:00,ok,0,0,0,0.0,[],
